country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Oman,5.2,4.3,2.2,2.8,8.7,5.7,4.5,2.3,2.1,2,1.93
Kosovo,,,47.9,29,25.4,29,31.7,40,38.1,44.03,41.48
Nicaragua,48,46.4,41.8,35.1,33.8,30.1,27.6,26.7,35.8,41.19,44.54
Mongolia,49.9,60.6,53.6,34.9,37.1,44.5,37,30.6,27.9,34.76,43.63
Germany,8.7,10.2,13.8,16,15.4,18.6,16.4,12.8,12.8,10.87,7.25
Laos,74.2,72.9,73.4,72.4,74.4,74.8,60.1,61.4,61.1,66.68,62.37
Swaziland,11.4,18.8,13,10.4,9,10.4,4.9,4.5,10,12.95,8.03
"Gambia, The",65.5,57,55.7,51.9,56.2,67.2,73.5,74.5,69.3,75.64,69.87
Vietnam,40.9,36.3,38.8,42.3,36.1,33.5,22.2,20.3,14.3,23.43,29.49
Gabon,26.2,23.4,23,23.8,27.3,30.3,24.1,20.3,13.5,15.74,21.29
Peru,48.6,44.2,37.7,29.1,26,22.7,20.1,16.1,13.8,14.46,28.61
Sierra Leone,49.5,43.1,50.1,52.6,45.7,48,50.3,46.5,51.9,53.02,61.25
Solomon Islands,14.3,5,6.5,17,10.7,13.1,5.4,12.7,5.4,7.26,4.28
Belarus,26.5,26.1,21.1,15.5,19.7,19.4,19.5,20.7,14,12.53,14.87
Saint Kitts and Nevis,22.6,20.9,25,16.1,22.7,23.3,27.2,30.7,27.5,26.6,28.31
Marshall Islands,14.7,3.1,14,7.3,10.4,8.3,15.6,22.7,4.8,26.67,29.41
Madagascar,9.6,14.2,11.9,18.2,15.7,15,17.5,9.3,11.6,11.01,12.12
Cote d'Ivoire,51.3,46.4,40.9,36.5,47,39.6,27.7,30.3,29.8,28.59,37.38
Sri Lanka,22.3,28.2,31.4,40.8,28.6,25.2,34.7,20.6,19.5,22.07,21.69
